State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Alabama,Baldwin,2015,264,230,33,1,0,0,0,129,53,38,0,0,189,75,0
Alabama,Clay,2015,112,101,11,0,0,0,0,91,50,32,0,0,0,112,0
Alabama,Colbert,2015,280,251,29,0,0,0,0,73,51,36,0,0,195,85,0
Alabama,DeKalb,2015,363,319,43,1,0,0,0,101,52,37,0,0,307,56,0
Alabama,Elmore,2015,233,223,9,1,0,0,0,115,47,35,0,0,233,0,0
Alabama,Etowah,2015,365,221,137,4,3,0,0,170,64,46,0,0,119,246,0
Alabama,Houston,2015,283,259,24,0,0,0,0,74,49,33,0,0,211,72,0
Alabama,Jefferson,2015,365,206,154,5,0,0,0,147,70,48,0,12,108,242,3
Alabama,Lawrence,2015,114,105,9,0,0,0,0,71,48,27,0,0,0,114,0
Alabama,Madison,2015,333,288,45,0,0,0,0,87,54,38,0,0,215,63,55
Alabama,Mobile,2015,363,274,88,1,0,0,0,105,58,40,0,0,140,223,0
Alabama,Montgomery,2015,359,227,131,1,0,0,0,115,61,45,0,0,112,247,0
Alabama,Morgan,2015,365,302,63,0,0,0,0,92,56,38,0,0,164,201,0
Alabama,Russell,2015,337,196,139,2,0,0,0,141,65,47,0,0,76,261,0
Alabama,Shelby,2015,257,219,36,2,0,0,0,115,57,39,0,0,225,32,0
Alabama,Sumter,2015,314,233,80,1,0,0,0,107,57,40,0,0,134,180,0
Alabama,Talladega,2015,107,76,31,0,0,0,0,81,57,40,0,0,0,107,0
Alabama,Tuscaloosa,2015,357,193,164,0,0,0,0,89,63,49,0,0,50,307,0
Alaska,Aleutians East ,2015,117,117,0,0,0,0,0,33,21,10,0,0,0,117,0
Alaska,Anchorage ,2015,361,301,60,0,0,0,0,76,56,28,3,0,0,263,95
Alaska,Denali ,2015,363,356,7,0,0,0,0,89,44,34,0,0,357,6,0
Alaska,Fairbanks North Star ,2015,365,169,133,20,40,3,0,238,153,54,0,3,85,269,8
Alaska,Juneau ,2015,351,296,55,0,0,0,0,91,56,21,0,0,0,349,2
